id,customer_id,product_id,quantity,total,status,order_date
67,105,5,7,493.43,shipped,2025-12-03
68,107,35,8,2492.72,completed,2024-08-16
69,100,14,7,520.73,returned,2026-06-17
70,196,45,1,440.24,returned,2024-10-12
71,2,25,8,2661.04,shipped,2024-08-06
72,108,20,7,611.24,returned,2025-03-10
73,155,48,9,79.83,pending,2024-11-11
74,70,32,4,1198.16,cancelled,2025-12-10
75,100,32,1,299.54,shipped,2025-05-19
76,186,43,7,773.57,pending,2026-02-10
77,160,30,3,248.79,returned,2026-05-27
78,152,2,7,268.52,returned,2026-04-23
79,22,43,1,110.51,cancelled,2026-01-12
80,47,9,8,1717.36,completed,2024-09-07
81,84,17,7,374.22,pending,2024-11-01
82,87,30,6,497.58,cancelled,2024-12-22
83,65,18,7,2931.81,completed,2025-03-18
84,192,31,1,44.66,returned,2025-11-20
85,58,4,6,2016.84,completed,2025-08-12
86,194,50,1,469.77,completed,2025-03-10
87,6,16,4,897.4,returned,2024-11-27
88,33,10,4,1353.28,cancelled,2026-05-21
89,145,43,2,221.02,pending,2025-03-31
90,197,30,5,414.65,shipped,2025-04-08
91,156,11,10,350.0,completed,2026-02-08
92,80,50,3,1409.31,completed,2026-01-01
93,80,38,1,123.15,returned,2025-11-06
94,102,44,7,3268.72,pending,2025-12-12
95,177,5,10,704.9,pending,2025-10-12
96,176,7,5,2023.55,returned,2024-12-11
97,11,8,10,529.8,shipped,2025-01-20
98,170,35,7,2181.13,shipped,2025-09-04
99,166,5,9,634.41,shipped,2025-01-04
100,126,1,7,2487.66,completed,2026-07-05
101,163,28,6,2251.5,cancelled,2025-02-26
102,112,46,3,249.24,pending,2025-02-20
103,167,47,9,3179.25,shipped,2024-12-22
104,199,40,9,1453.59,cancelled,2025-12-21
105,188,30,7,580.51,returned,2025-03-12
106,63,18,6,2512.98,completed,2025-04-04
107,63,18,8,3350.64,cancelled,2026-06-06
108,172,37,10,1061.1,cancelled,2026-02-25
109,127,22,1,86.5,shipped,2025-02-08
110,55,12,8,3210.32,shipped,2024-10-21
111,72,17,6,320.76,returned,2025-11-30
112,143,45,5,2201.2,completed,2025-04-27
113,22,34,4,507.52,pending,2026-07-10
114,126,47,7,2472.75,returned,2026-03-14
115,177,49,4,612.76,cancelled,2026-06-21
116,115,42,8,3984.56,completed,2026-03-04
117,57,6,5,1451.1,cancelled,2025-02-21
118,79,45,4,1760.96,returned,2025-02-19
119,142,24,8,1169.6,returned,2025-12-28
120,191,23,7,953.96,returned,2025-04-03
121,180,22,6,519.0,cancelled,2025-06-12
122,65,18,5,2094.15,pending,2025-01-27
123,81,8,4,211.92,completed,2025-07-09
124,196,48,9,79.83,pending,2024-12-18
125,190,13,4,399.36,cancelled,2025-08-21
126,195,18,10,4188.3,returned,2026-06-06
127,26,39,5,1687.45,pending,2025-12-14
128,93,19,4,1854.2,pending,2024-11-01
129,182,20,1,87.32,returned,2025-10-17
130,12,9,5,1073.35,completed,2025-09-25
131,179,36,5,1423.95,pending,2025-01-17
132,27,41,8,76.88,completed,2025-11-25
133,121,37,5,530.55,cancelled,2025-08-16
134,48,29,6,1765.02,completed,2025-11-02
135,30,17,8,427.68,completed,2024-08-31
136,19,26,8,792.0,returned,2025-05-22
137,39,41,1,9.61,pending,2025-12-30
138,22,37,5,530.55,pending,2024-10-05
139,196,8,9,476.82,cancelled,2026-02-07
140,159,39,10,3374.9,pending,2024-07-27
141,98,50,9,4227.93,cancelled,2025-08-30
142,151,29,5,1470.85,cancelled,2026-06-03
143,159,20,10,873.2,completed,2025-05-17
144,196,40,2,323.02,pending,2026-06-07
145,68,41,4,38.44,completed,2026-04-27
146,45,11,4,140.0,returned,2025-07-08
147,1,5,3,211.47,cancelled,2024-12-16
148,121,29,10,2941.7,shipped,2026-06-28
149,74,3,4,160.28,shipped,2025-03-15
150,19,45,8,3521.92,pending,2025-11-08
151,170,17,10,534.6,pending,2026-05-18
152,140,28,2,750.5,pending,2024-09-27
153,69,42,3,1494.21,pending,2025-09-16
154,43,5,1,70.49,shipped,2025-08-19
155,74,39,10,3374.9,cancelled,2026-01-03
156,177,8,8,423.84,shipped,2026-06-08
157,70,45,7,3081.68,returned,2026-05-22
158,113,35,8,2492.72,completed,2024-11-28
159,111,39,1,337.49,shipped,2026-04-29
160,7,39,5,1687.45,completed,2024-11-29
161,151,15,10,2340.0,completed,2026-05-27
162,148,49,5,765.95,completed,2026-07-22
163,121,49,3,459.57,returned,2025-05-10
164,72,42,8,3984.56,pending,2025-07-21
165,163,38,7,862.05,cancelled,2026-06-08
166,90,6,8,2321.76,cancelled,2026-06-27
167,172,22,6,519.0,completed,2026-05-31
168,106,11,6,210.0,cancelled,2026-04-25
169,195,19,7,3244.85,returned,2024-07-30
170,23,3,8,320.56,shipped,2025-09-12
171,30,17,6,320.76,cancelled,2024-10-10
172,169,33,1,204.87,returned,2026-07-12
173,14,30,7,580.51,pending,2025-02-17
174,160,34,6,761.28,cancelled,2026-07-17
175,195,41,8,76.88,completed,2025-08-25
176,141,14,5,371.95,pending,2025-07-20
177,179,19,8,3708.4,cancelled,2026-06-10
178,162,8,1,52.98,returned,2026-04-07
179,80,16,3,673.05,returned,2025-07-01
180,105,1,9,3198.42,completed,2024-12-11
181,119,15,2,468.0,completed,2024-10-14
182,128,42,3,1494.21,shipped,2024-11-19
183,107,33,5,1024.35,cancelled,2025-06-24
184,117,31,4,178.64,returned,2025-01-28
185,49,10,7,2368.24,returned,2024-12-07
186,18,33,3,614.61,shipped,2026-01-13
187,88,50,7,3288.39,returned,2026-02-22
188,73,18,1,418.83,shipped,2025-09-12
189,169,38,10,1231.5,cancelled,2026-01-28
190,138,10,8,2706.56,cancelled,2024-11-29
191,142,23,6,817.68,returned,2026-04-10
192,83,25,8,2661.04,pending,2026-05-10
193,147,45,4,1760.96,cancelled,2026-03-20
194,12,15,7,1638.0,shipped,2025-08-04
195,181,48,8,70.96,cancelled,2024-09-25
196,127,25,3,997.89,completed,2025-11-25
197,152,9,9,1932.03,shipped,2024-12-06
198,26,7,8,3237.68,returned,2024-11-03
199,185,30,1,82.93,pending,2025-03-17
200,20,27,3,875.07,cancelled,2025-01-21
201,160,17,6,320.76,cancelled,2025-01-30
202,85,42,2,996.14,returned,2025-01-12
203,161,25,6,1995.78,cancelled,2026-01-25
204,159,35,1,311.59,completed,2026-06-21
205,59,16,5,1121.75,completed,2025-03-01
206,195,28,2,750.5,completed,2026-01-03
207,178,29,3,882.51,shipped,2024-08-01
208,84,2,1,38.36,completed,2025-11-13
209,96,19,6,2781.3,cancelled,2025-12-12
210,136,10,4,1353.28,cancelled,2024-09-07
211,44,37,3,318.33,pending,2024-10-18
212,98,6,10,2902.2,returned,2025-03-05
213,128,44,4,1867.84,returned,2025-05-16
214,119,10,4,1353.28,shipped,2025-07-26
215,171,30,5,414.65,completed,2026-05-09
216,174,30,5,414.65,returned,2025-12-20
217,114,11,2,70.0,shipped,2025-03-08
218,164,38,5,615.75,cancelled,2024-10-17
219,117,45,5,2201.2,shipped,2026-05-24
220,124,13,7,698.88,completed,2025-02-24
221,147,16,7,1570.45,shipped,2025-10-16
222,180,37,5,530.55,shipped,2024-12-31
223,71,2,7,268.52,completed,2024-10-29
224,156,37,1,106.11,cancelled,2024-11-12
225,156,19,4,1854.2,shipped,2026-01-21
226,159,15,4,936.0,shipped,2025-10-09
227,161,44,3,1400.88,completed,2025-05-23
228,80,41,1,9.61,cancelled,2025-08-29
229,94,3,10,400.7,pending,2025-07-03
230,84,6,5,1451.1,cancelled,2025-08-20
231,34,12,4,1605.16,returned,2025-11-21
232,129,24,9,1315.8,shipped,2024-12-30
233,124,11,5,175.0,shipped,2025-01-20
234,30,48,6,53.22,cancelled,2026-01-26
235,194,5,3,211.47,pending,2026-04-23
236,143,44,7,3268.72,shipped,2024-09-21
237,4,6,7,2031.54,shipped,2025-06-15
238,117,35,2,623.18,shipped,2025-12-20
239,150,44,5,2334.8,cancelled,2024-09-19
240,28,41,6,57.66,pending,2025-09-09
241,159,31,1,44.66,returned,2024-09-07
242,57,21,10,1108.0,completed,2025-08-28
243,180,41,8,76.88,shipped,2025-07-28
244,30,42,7,3486.49,pending,2025-09-15
245,78,3,1,40.07,cancelled,2024-11-10
246,61,8,2,105.96,returned,2025-03-20
247,117,9,7,1502.69,shipped,2025-08-08
248,108,43,9,994.59,returned,2024-10-16
249,107,48,3,26.61,completed,2024-12-21
250,105,32,10,2995.4,shipped,2025-09-23
251,56,3,6,240.42,cancelled,2024-09-28
252,93,29,4,1176.68,completed,2025-08-01
253,140,44,6,2801.76,shipped,2026-03-07
254,71,4,7,2352.98,pending,2025-06-20
255,24,8,8,423.84,pending,2025-08-03
256,6,42,10,4980.7,completed,2025-06-22
257,33,22,4,346.0,returned,2024-09-04
258,196,14,2,148.78,returned,2025-06-26
259,56,14,10,743.9,pending,2026-03-05
260,153,22,3,259.5,completed,2026-01-03
261,34,18,3,1256.49,returned,2025-05-09
262,29,17,3,160.38,completed,2026-03-12
263,92,9,1,214.67,pending,2026-01-20
264,5,38,6,738.9,pending,2025-09-19
265,33,17,1,53.46,cancelled,2024-08-26
266,191,34,2,253.76,completed,2025-04-01
267,200,31,8,357.28,shipped,2024-09-08
268,28,33,10,2048.7,cancelled,2026-07-20
269,158,33,4,819.48,completed,2026-06-07
270,78,47,9,3179.25,cancelled,2024-09-12
271,16,42,1,498.07,cancelled,2026-06-06
272,176,26,7,693.0,completed,2024-08-16
273,19,32,8,2396.32,completed,2025-05-18
274,38,21,10,1108.0,completed,2026-02-06
275,160,9,5,1073.35,returned,2026-02-03
276,98,36,6,1708.74,returned,2026-07-09
277,117,34,5,634.4,returned,2025-11-08
278,26,39,7,2362.43,completed,2025-05-27
279,185,42,9,4482.63,pending,2026-07-19
280,59,28,8,3002.0,cancelled,2025-04-29
281,103,22,8,692.0,cancelled,2026-04-20
282,81,47,2,706.5,cancelled,2026-05-17
283,96,21,5,554.0,pending,2025-04-24
284,18,44,8,3735.68,completed,2025-12-05
285,111,6,2,580.44,completed,2025-11-19
286,34,48,6,53.22,returned,2025-08-22
287,144,4,10,3361.4,returned,2025-11-13
288,106,22,2,173.0,shipped,2025-04-04
289,185,43,7,773.57,completed,2024-12-01
290,80,19,10,4635.5,shipped,2025-08-20
291,130,7,10,4047.1,pending,2025-08-14
292,58,10,8,2706.56,completed,2026-01-07
293,95,23,9,1226.52,completed,2025-01-02
294,147,49,5,765.95,pending,2024-07-26
295,197,28,9,3377.25,returned,2024-08-09
296,7,40,9,1453.59,returned,2025-02-27
297,8,43,5,552.55,pending,2025-11-28
298,87,18,5,2094.15,shipped,2025-08-25
299,37,1,3,1066.14,returned,2025-08-16
300,18,43,7,773.57,pending,2026-03-17
301,24,48,1,8.87,returned,2025-01-20
302,108,14,7,520.73,cancelled,2025-04-03
303,95,22,3,259.5,shipped,2025-02-10
304,199,47,6,2119.5,returned,2026-06-09
305,14,39,2,674.98,pending,2026-01-04
306,13,11,10,350.0,completed,2024-10-14
307,170,18,8,3350.64,cancelled,2026-03-07
308,114,32,10,2995.4,cancelled,2025-05-26
309,194,18,4,1675.32,returned,2026-02-03
310,111,8,6,317.88,completed,2026-05-01
311,125,19,10,4635.5,returned,2024-08-04
312,12,43,5,552.55,pending,2024-12-21
313,15,26,10,990.0,completed,2024-10-05
314,55,14,5,371.95,pending,2024-08-17
315,75,49,5,765.95,shipped,2025-10-03
316,128,8,1,52.98,cancelled,2025-12-20
317,98,12,3,1203.87,returned,2024-08-28
318,129,46,4,332.32,returned,2026-01-16
319,19,43,6,663.06,cancelled,2025-05-14
320,112,48,1,8.87,completed,2025-01-11
321,81,30,2,165.86,returned,2024-12-29
322,104,28,10,3752.5,cancelled,2026-04-16
323,104,19,2,927.1,completed,2024-09-03
324,159,21,3,332.4,cancelled,2025-07-27
325,23,45,6,2641.44,cancelled,2025-02-20
326,112,7,4,1618.84,returned,2026-03-12
327,21,26,9,891.0,cancelled,2026-01-09
328,57,20,6,523.92,shipped,2025-03-14
329,20,50,3,1409.31,returned,2025-10-04
330,136,41,2,19.22,returned,2025-11-27
331,90,13,6,599.04,pending,2025-03-15
332,38,16,2,448.7,shipped,2025-03-01
333,155,13,3,299.52,pending,2024-11-05
334,46,49,2,306.38,cancelled,2025-11-18
335,195,30,10,829.3,returned,2025-01-01
336,165,29,10,2941.7,returned,2025-02-28
337,39,21,6,664.8,cancelled,2024-09-06
338,114,5,8,563.92,shipped,2026-06-17
339,15,18,10,4188.3,shipped,2026-04-28
340,80,33,2,409.74,cancelled,2026-05-21
341,15,29,1,294.17,shipped,2025-10-24
342,166,19,2,927.1,completed,2025-06-01
343,130,40,10,1615.1,cancelled,2025-07-21
344,142,30,10,829.3,completed,2026-07-04
345,167,29,10,2941.7,pending,2026-06-12
346,122,21,10,1108.0,returned,2025-11-26
347,116,10,1,338.32,completed,2026-02-18
348,130,22,2,173.0,pending,2025-03-13
349,182,3,4,160.28,cancelled,2025-05-24
350,134,29,9,2647.53,returned,2024-11-10
351,96,11,6,210.0,shipped,2025-04-25
352,199,25,7,2328.41,shipped,2026-01-26
353,14,44,10,4669.6,shipped,2025-07-05
354,25,5,6,422.94,returned,2026-04-05
355,73,44,7,3268.72,shipped,2025-02-28
356,39,47,10,3532.5,shipped,2025-12-23
357,170,6,10,2902.2,pending,2026-03-05
358,168,23,5,681.4,cancelled,2026-05-23
359,182,9,10,2146.7,completed,2025-09-08
360,97,20,9,785.88,shipped,2026-07-01
361,24,9,9,1932.03,cancelled,2025-09-04
362,5,33,6,1229.22,shipped,2024-10-30
363,55,20,3,261.96,shipped,2025-01-17
364,50,50,8,3758.16,pending,2024-12-19
365,20,9,3,644.01,shipped,2025-11-08
366,198,7,9,3642.39,returned,2026-05-29
367,10,48,9,79.83,shipped,2026-04-04
368,34,50,10,4697.7,returned,2024-09-29
369,42,25,3,997.89,pending,2026-01-04
370,43,45,10,4402.4,cancelled,2024-12-10
371,94,3,7,280.49,pending,2025-02-05
372,73,29,10,2941.7,cancelled,2025-11-28
373,62,15,9,2106.0,shipped,2025-10-07
374,95,31,4,178.64,returned,2026-04-23
375,197,29,8,2353.36,shipped,2024-12-08
376,129,50,7,3288.39,returned,2026-01-31
377,52,27,3,875.07,returned,2026-01-04
378,14,9,5,1073.35,cancelled,2025-09-05
379,27,24,9,1315.8,returned,2025-07-09
380,22,8,5,264.9,pending,2026-04-20
381,132,18,8,3350.64,pending,2025-03-24
382,57,28,2,750.5,cancelled,2026-06-23
383,107,23,1,136.28,completed,2024-08-04
384,96,26,9,891.0,pending,2026-06-09
385,96,25,2,665.26,pending,2026-06-27
386,26,2,6,230.16,shipped,2024-10-17
387,10,10,3,1014.96,shipped,2026-07-24
388,195,31,3,133.98,cancelled,2025-07-09
389,2,29,10,2941.7,completed,2025-01-17
390,56,2,5,191.8,pending,2025-10-08
391,136,36,10,2847.9,cancelled,2024-12-20
392,61,8,5,264.9,shipped,2026-05-23
393,62,8,1,52.98,cancelled,2025-08-31
394,118,41,10,96.1,completed,2026-02-10
395,153,8,8,423.84,returned,2025-04-28
396,148,2,9,345.24,pending,2025-08-18
397,75,46,3,249.24,cancelled,2025-04-12
398,91,1,10,3553.8,pending,2025-01-31
399,48,37,7,742.77,completed,2025-08-02
400,18,34,6,761.28,returned,2025-07-22
401,130,35,9,2804.31,returned,2024-10-04
402,121,2,7,268.52,completed,2026-07-11
403,96,41,7,67.27,shipped,2025-07-02
404,92,48,1,8.87,completed,2026-03-29
405,188,23,4,545.12,completed,2026-05-23
406,189,50,10,4697.7,shipped,2025-04-20
407,91,9,1,214.67,returned,2025-05-22
408,200,22,3,259.5,cancelled,2025-09-08
409,162,45,8,3521.92,pending,2025-01-01
410,184,9,2,429.34,cancelled,2024-11-07
411,52,3,5,200.35,completed,2025-01-30
412,81,13,1,99.84,shipped,2026-06-07
413,140,33,7,1434.09,cancelled,2025-09-20
414,193,17,1,53.46,pending,2025-05-25
415,200,19,6,2781.3,completed,2024-11-12
416,70,42,6,2988.42,completed,2025-03-22
417,103,24,7,1023.4,cancelled,2025-04-27
418,48,25,6,1995.78,cancelled,2026-03-25
419,95,45,8,3521.92,returned,2025-07-23
420,187,18,2,837.66,cancelled,2025-11-14
421,155,6,7,2031.54,pending,2025-12-06
422,83,35,5,1557.95,completed,2025-01-28
423,170,6,6,1741.32,shipped,2026-03-16
424,155,20,8,698.56,cancelled,2026-06-30
425,90,11,8,280.0,cancelled,2025-11-05
426,158,3,6,240.42,cancelled,2025-07-17
427,20,18,1,418.83,cancelled,2024-11-23
428,192,24,9,1315.8,pending,2026-02-25
429,156,2,3,115.08,cancelled,2024-11-24
430,18,3,3,120.21,pending,2026-01-01
431,93,50,6,2818.62,cancelled,2025-07-15
432,155,37,1,106.11,pending,2026-05-25
433,95,44,8,3735.68,shipped,2025-08-24
434,147,29,2,588.34,pending,2025-11-05
435,102,34,6,761.28,shipped,2024-09-04
436,64,42,5,2490.35,completed,2024-08-17
437,128,2,3,115.08,returned,2026-04-03
438,31,25,9,2993.67,shipped,2026-06-14
439,181,50,5,2348.85,cancelled,2025-11-24
440,74,14,10,743.9,cancelled,2026-02-02
441,35,13,2,199.68,completed,2025-05-21
442,183,29,3,882.51,cancelled,2026-03-31
443,171,6,6,1741.32,shipped,2025-01-09
444,141,46,2,166.16,returned,2025-12-22
445,41,19,5,2317.75,pending,2024-07-30
446,58,24,9,1315.8,completed,2025-07-28
447,61,13,3,299.52,cancelled,2025-04-22
448,142,2,6,230.16,returned,2025-10-18
449,142,24,8,1169.6,pending,2025-11-23
450,17,40,2,323.02,shipped,2025-10-17
451,135,26,8,792.0,cancelled,2025-07-12
452,148,50,7,3288.39,completed,2025-07-15
453,165,9,6,1288.02,completed,2024-07-28
454,175,29,8,2353.36,returned,2025-08-31
455,200,23,3,408.84,returned,2024-08-01
456,47,41,10,96.1,pending,2025-08-15
457,15,28,9,3377.25,completed,2025-02-09
458,78,34,3,380.64,pending,2026-07-08
459,182,11,6,210.0,pending,2024-08-05
460,73,23,9,1226.52,completed,2026-03-10
461,163,17,4,213.84,returned,2025-11-28
462,161,18,3,1256.49,shipped,2026-03-05
463,24,40,9,1453.59,returned,2026-05-20
464,152,42,3,1494.21,returned,2024-10-10
465,169,10,3,1014.96,returned,2024-10-02
466,87,47,10,3532.5,returned,2024-11-09
467,21,3,1,40.07,completed,2024-12-11
468,68,42,10,4980.7,pending,2025-08-12
469,107,50,10,4697.7,returned,2026-03-11
470,128,41,1,9.61,returned,2025-02-04
471,124,19,5,2317.75,pending,2025-05-10
472,77,44,7,3268.72,cancelled,2025-04-22
473,41,5,1,70.49,cancelled,2025-05-16
474,119,27,8,2333.52,pending,2025-09-10
475,37,22,10,865.0,shipped,2026-07-17
476,188,46,6,498.48,shipped,2025-01-05
477,195,26,3,297.0,shipped,2025-12-06
478,28,33,9,1843.83,shipped,2026-04-04
479,32,16,8,1794.8,shipped,2025-11-13
480,37,29,4,1176.68,completed,2026-04-12
481,99,4,5,1680.7,returned,2026-01-30
482,41,27,4,1166.76,shipped,2024-09-30
483,49,37,6,636.66,pending,2025-04-27
484,120,32,9,2695.86,cancelled,2025-09-01
485,6,20,8,698.56,completed,2024-09-03
486,118,26,9,891.0,pending,2024-07-30
487,91,14,10,743.9,completed,2024-11-26
488,127,4,5,1680.7,returned,2025-07-24
489,74,42,8,3984.56,returned,2025-06-06
490,111,1,2,710.76,pending,2026-02-17
491,196,17,6,320.76,cancelled,2025-09-10
492,103,24,1,146.2,completed,2026-04-12
493,50,37,9,954.99,shipped,2024-10-01
494,19,36,5,1423.95,cancelled,2025-08-14
495,196,33,8,1638.96,returned,2024-08-24
496,175,18,10,4188.3,returned,2024-12-25
497,25,8,3,158.94,cancelled,2026-04-19
498,143,24,6,877.2,shipped,2026-05-03
499,51,49,3,459.57,returned,2025-07-06
500,129,33,7,1434.09,completed,2024-08-27
